authority_id,name,code,hectares,multiple,income,employment,education,health,crime,housing,environment,idaci,idaopi,education,adultskills,services,wider,indoors,outdoors,population,dependent_children,working_age,sixteen_fiftynine,over_sixty
110,Shropshire,E06000051,319727.55,5.959,6.311,6.254,5.813,6.617,7.767,5.212,4.539,6.731,6.249,5.539,5.964,3.751,7.373,3.446,9.383,311380,51755,182837,166396,90941
111,Slough,E06000039,3254.201,4.575,4.600,5.500,4.838,5.625,2.825,3.388,4.488,4.700,3.775,5.413,4.425,5.938,2.325,6.338,2.163,145734,37039,93700,88930,19289
112,Solihull,E08000029,17828.205,6.694,6.366,6.276,6.567,7.052,5.381,5.455,6.896,6.448,6.582,7.067,6.075,4.821,5.522,6.590,6.142,210445,40152,124001,114578,54317
113,Somerset,E10000027,351392.025,5.890,6.171,5.982,5.398,6.352,6.936,4.615,4.957,6.263,6.578,4.994,5.792,3.924,5.709,3.801,8.844,545390,95797,314258,285573,159956
114,South Gloucestershire,E06000025,53664.531,7.600,7.218,7.255,5.800,8.406,6.655,6.576,7.655,6.697,7.455,5.230,6.327,4.727,6.830,7.206,7.188,274661,51018,170340,158773,63102
115,South Tyneside,E08000023,6710.839,3.745,3.412,2.922,4.569,2.373,6.510,5.363,8.657,3.892,3.559,5.010,4.078,6.108,3.990,9.039,6.039,148671,25819,91911,84534,37404
116,Southampton,E06000045,5638.515,4.176,4.953,5.331,4.459,3.601,2.946,5.534,2.973,4.378,4.601,4.088,4.878,6.669,3.723,4.277,1.655,249537,44384,170189,161901,42160
117,Southend on Sea,E06000033,6790.098,5.019,4.850,4.850,4.636,5.262,3.860,7.121,4.673,5.084,4.963,5.019,4.252,6.841,5.047,5.430,3.131,178702,34225,108620,100957,42413
118,Southwark,E09000028,2991.34,3.554,3.699,4.536,6.488,4.440,2.331,2.982,2.084,3.114,2.355,5.904,7.060,8.723,1.584,3.994,1.084,308901,57332,225305,217182,33515
119,St Helens,E08000013,13635.876,4.193,4.319,3.387,5.092,2.521,5.294,7.403,5.471,4.571,4.773,5.630,4.529,6.042,6.294,5.622,4.454,177612,32085,107902,99513,44806
120,Staffordshire,E10000028,262331.444,6.360,6.322,5.917,5.491,5.828,6.799,6.634,6.508,6.449,6.360,5.699,5.152,4.606,7.769,5.657,7.369,862562,148794,523922,482051,225949
121,Stockport,E08000007,12604.032,6.184,6.126,5.779,6.516,4.463,4.958,8.384,6.089,6.516,5.968,6.421,6.463,6.068,7.805,5.611,6.116,288733,55183,173906,160763,70824
122,Stockton on Tees,E06000004,20973.097,5.375,5.183,4.533,5.492,3.892,6.408,6.633,8.817,5.225,5.458,5.475,5.308,4.467,7.892,8.858,6.858,194803,38132,120779,111841,43660
123,Stoke on Trent,E06000021,9344.849,3.453,3.893,3.182,2.969,2.459,3.906,6.887,4.799,3.937,4.264,3.497,2.654,6.340,5.384,4.918,4.057,251648,50446,156379,145578,54181
124,Suffolk,E10000029,385357.501,5.891,6.227,6.168,4.635,6.433,6.553,5.204,5.624,6.190,6.485,4.254,5.161,4.036,6.753,4.773,7.574,741895,134030,432281,396204,206157
125,Sunderland,E08000024,13963.011,4.005,3.795,3.162,4.076,2.341,6.346,7.195,8.730,4.249,3.643,4.832,3.470,5.827,6.486,8.968,6.373,277150,48097,174177,160697,66538
126,Surrey,E10000030,167007.319,8.197,7.904,8.190,7.337,8.561,7.003,5.804,6.968,7.608,8.041,6.828,7.656,4.052,7.059,7.773,4.636,1168809,228303,711918,662333,270669
127,Sutton,E09000029,4384.698,6.860,6.397,6.851,7.000,7.182,4.851,5.884,5.579,6.132,6.388,7.496,6.281,6.529,4.058,5.339,5.182,200145,41335,126844,119333,38430
128,Swindon,E06000030,23009.336,6.273,6.045,6.242,4.826,6.083,5.311,6.818,7.106,5.811,6.121,4.583,5.106,4.818,7.197,6.727,6.530,217160,43868,138173,129108,43104
129,Tameside,E08000008,10315.421,3.957,4.241,3.681,4.213,2.496,4.071,8.085,4.773,4.333,4.518,5.305,3.348,6.511,6.716,4.617,4.652,221692,43709,137269,127648,49089
130,Telford and Wrekin,E06000020,29031.346,4.843,4.648,4.537,4.787,3.926,5.444,4.648,8.065,4.713,4.657,4.926,4.472,3.843,5.491,6.926,9.083,171159,34908,106406,98719,36680
131,Thurrock,E06000034,18431.778,5.133,5.082,5.347,3.612,6.796,3.745,5.194,6.337,4.724,5.255,4.571,2.990,5.531,4.296,5.806,6.235,165184,36890,103942,97642,29932
132,Torbay,E06000027,11946.705,4.067,3.798,3.427,4.494,3.461,4.607,7.213,4.629,4.213,4.315,4.393,4.506,5.820,6.101,3.719,7.640,133373,22236,75019,67983,42031
133,Tower Hamlets,E09000030,2157.501,2.799,2.771,4.264,5.479,3.417,2.833,1.681,2.264,1.951,1.479,5.882,5.451,9.174,1.132,4.743,1.257,295236,59264,217003,210620,24707
134,Trafford,E08000009,10604.476,6.906,6.384,6.007,7.565,5.536,6.949,7.790,5.862,6.884,6.007,7.761,7.058,6.355,6.739,5.297,5.993,233288,48371,142842,133288,50199
135,Wakefield,E08000036,33861.969,4.469,4.737,3.900,3.833,3.230,5.038,7.024,6.373,4.794,5.378,4.574,3.282,5.536,6.474,6.603,4.885,333759,62015,205929,190362,79383
136,Walsall,E08000030,10397.35,4.084,3.731,3.719,3.641,3.970,4.737,6.012,5.036,4.078,3.784,4.725,2.862,6.425,4.581,4.407,5.743,276095,58019,166208,154944,61305
137,Waltham Forest,E09000031,3880.793,3.278,3.611,4.368,5.292,5.000,2.188,1.625,2.819,3.396,3.243,5.597,4.903,8.264,1.146,4.007,1.667,271170,59089,182342,173796,37299
138,Wandsworth,E09000032,3522.022,5.777,5.821,7.017,8.274,6.726,3.709,4.570,2.453,5.101,3.860,7.285,9.000,8.492,2.240,4.173,1.190,314544,56101,227137,218894,38573
139,Warrington,E06000007,18238.376,6.055,6.299,5.661,6.134,4.315,5.953,7.094,5.622,6.480,6.126,6.063,6.094,5.016,7.819,6.512,3.614,207695,39523,129107,120031,46907
