id,name,address,postcode,bbox
2413,Brandhall Library,"Tame Road, Oldbury",B68 0JT,"POLYGON((-2.02932036059163 52.4540637303619,-2.02932036059163 52.4829899641949,-1.98195627764962 52.4829899641949,-1.98195627764962 52.4540637303619,-2.02932036059163 52.4540637303619))"
2423,Langley Library,"Barrs Street, Oldbury",B68 8QT,"POLYGON((-2.03342704098019 52.4729424016033,-2.03342704098019 52.5018685784433,-1.9860426234215 52.5018685784433,-1.9860426234215 52.4729424016033,-2.03342704098019 52.4729424016033))"
2412,Bleakhouse Library,"Bleakhouse Road, Oldbury",B68 9DS,"POLYGON((-2.02200762934938 52.4605906358914,-2.02200762934938 52.4895167732179,-1.97463664450942 52.4895167732179,-1.97463664450942 52.4605906358914,-2.02200762934938 52.4605906358914))"
2428,Rounds Green Library,"Martley Road, Oldbury",B69 1DZ,"POLYGON((-2.05776398287541 52.4793835426339,-2.05776398287541 52.5083098977288,-2.01037229824989 52.5083098977288,-2.01037229824989 52.4793835426339,-2.05776398287541 52.4793835426339))"
2011,Kirkbymoorside library,"Church House, 7 High Marketplace, Kirkbymoorside, York",YO62 6AT,"POLYGON((-0.957712788547345 54.2562190250874,-0.957712788547345 54.2851220015107,-0.908331223962019 54.2851220015107,-0.908331223962019 54.2562190250874,-0.957712788547345 54.2562190250874))"
106,Small Heath Library,Muntz Street,B10 9RX,"POLYGON((-1.87870403526606 52.4584620868435,-1.87870403526606 52.487386877979,-1.83133755832908 52.487386877979,-1.83133755832908 52.4584620868435,-1.87870403526606 52.4584620868435))"
2424,Oakham Library,"Poplar Rise, Tividale, Oldbury",B69 1RD,"POLYGON((-2.06843310612591 52.4923344410212,-2.06843310612591 52.521260822773,-2.02102734556596 52.521260822773,-2.02102734556596 52.4923344410212,-2.06843310612591 52.4923344410212))"
2425,Oldbury Library,"Jack Judge House, 10 Halesowen Street, Oldbury",B69 2AJ,"POLYGON((-2.03992149334223 52.4890876091703,-2.03992149334223 52.5180137630829,-1.9925196252027 52.5180137630829,-1.9925196252027 52.4890876091703,-2.03992149334223 52.4890876091703))"
2426,Oldbury Library,"Church St, Oldbury",B69 3AF,"POLYGON((-2.03946595016703 52.4903642457288,-2.03946595016703 52.5192903894044,-1.99206271527494 52.5192903894044,-1.99206271527494 52.4903642457288,-2.03946595016703 52.4903642457288))"
2422,Hill Top Library,"Park Buildings, Hill Top, West Bromwich",B70 0RZ,"POLYGON((-2.03538363320517 52.5250298620661,-2.03538363320517 52.5539557996452,-1.98794312843428 52.5539557996452,-1.98794312843428 52.5250298620661,-2.03538363320517 52.5250298620661))"
2409,Beeches express,"Sure Start Children's Centre, 160 Beeches Road, West Bromwich",B70 6HQ,"POLYGON((-2.00791114946925 52.5022671221581,-2.00791114946925 52.5311929289274,-1.96049556247942 52.5311929289274,-1.96049556247942 52.5022671221581,-2.00791114946925 52.5022671221581))"
2415,Central Library (West Bromwich),"High Street, West Bromwich",B70 8DZ,"POLYGON((-2.02127892154955 52.505917969987,-2.02127892154955 52.5348438777726,-1.97385920906177 52.5348438777726,-1.97385920906177 52.505917969987,-2.02127892154955 52.505917969987))"
2430,Stone Cross Library,"Beverley Road, Stone Cross, West Bromwich",B71 2LH,"POLYGON((-2.00971522347114 52.529731488525,-2.00971522347114 52.5586571763052,-1.96227002200017 52.5586571763052,-1.96227002200017 52.529731488525,-2.00971522347114 52.529731488525))"
2414,Bright Futures express,"Bright Futures Children's Centre, Huntingdon Road, West Bromwich",B71 2RP,"POLYGON((-2.03016214717174 52.5220276720227,-2.03016214717174 52.5509535787349,-1.98272495306086 52.5509535787349,-1.98272495306086 52.5220276720227,-2.03016214717174 52.5220276720227))"
111,Sutton Coldfield Library,45 Lower Parade,B72 1XX,"POLYGON((-1.84682887321998 52.5482732761748,-1.84682887321998 52.577197298921,-1.79936625252715 52.577197298921,-1.79936625252715 52.5482732761748,-1.84682887321998 52.5482732761748))"
83,Boldmere Library,119 Boldmere Road,B73 5TU,"POLYGON((-1.86429915818353 52.5326016494961,-1.86429915818353 52.5615259293431,-1.81685314895408 52.5615259293431,-1.81685314895408 52.5326016494961,-1.86429915818353 52.5326016494961))"
2973,Streetly Library,"Blackwood Road,Streetly",B74 3PL,"POLYGON((-1.91540681380712 52.5655978863152,-1.91540681380712 52.5945225149671,-1.86792434989414 52.5945225149671,-1.86792434989414 52.5655978863152,-1.91540681380712 52.5655978863152))"
82,Bloomsbury Library,Nechells Parkway,B7 4PT,"POLYGON((-1.89517583256846 52.4779263248606,-1.89517583256846 52.5068511853267,-1.84778817562404 52.5068511853267,-1.84778817562404 52.4779263248606,-1.89517583256846 52.4779263248606))"
98,Mere Green Library,Mere Green Road,B75 5BT,"POLYGON((-1.8487059473585 52.5729981068292,-1.8487059473585 52.6019220274276,-1.80121658929347 52.6019220274276,-1.80121658929347 52.5729981068292,-1.8487059473585 52.5729981068292))"
113,Walmley Library,Walmley Road,B76 1NP,"POLYGON((-1.82443307110586 52.5266621644128,-1.82443307110586 52.5555860587974,-1.77699414581682 52.5555860587974,-1.77699414581682 52.5266621644128,-1.82443307110586 52.5266621644128))"
2642,Glascote Library,"Caledonian, Glascote, Tamworth",B77 2ED,"POLYGON((-1.68757391133546 52.6075051301636,-1.68757391133546 52.6364270966471,-1.64005014992073 52.6364270966471,-1.64005014992073 52.6075051301636,-1.68757391133546 52.6075051301636))"
3033,Polesworth Library and Information Centre,"Bridge Street, Polesworth, Tamworth",B78 1DT,"POLYGON((-1.63843687508971 52.6046050341461,-1.63843687508971 52.6335264251759,-1.59091722355614 52.6335264251759,-1.59091722355614 52.6046050341461,-1.63843687508971 52.6046050341461))"
3021,Dordon Community Library,"Roman Way, Dordon, Tamworth",B78 1RD,"POLYGON((-1.63909913892829 52.5905201403131,-1.63909913892829 52.6194416086949,-1.59159471920337 52.6194416086949,-1.59159471920337 52.5905201403131,-1.63909913892829 52.5905201403131))"
2666,Tamworth Library,"Corporation Street, Tamworth",B79 7DN,"POLYGON((-1.7200929204863 52.6204570471368,-1.7200929204863 52.6493793285077,-1.67255450393637 52.6493793285077,-1.67255450393637 52.6204570471368,-1.7200929204863 52.6204570471368))"
3039,Studley Community Library,"Studley Village Hall, High Street, Studley",B80 7HJ,"POLYGON((-1.92002139203843 52.2583216820502,-1.92002139203843 52.2872478691944,-1.87286786334548 52.2872478691944,-1.87286786334548 52.2583216820502,-1.92002139203843 52.2583216820502))"
114,Ward End Library,Washwood Heath Road,B8 2HF,"POLYGON((-1.85903945530681 52.4803360827447,-1.85903945530681 52.5092605658968,-1.81164980696109 52.5092605658968,-1.81164980696109 52.4803360827447,-1.85903945530681 52.4803360827447))"
