OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00045150,E01008888,338,1,3,3,2,3,7,5,7,3,6,3,9,7,4,5,4,5,5,3,7,4,8,1,5,3,6,4,5,5,6,5,6,10,2,4,4,4,6,7,9,5,4,5,7,4,5,6,7,2,3,5,1,4,0,3,7,2,4,6,5,5,6,1,5,4,4,2,1,3,1,0,1,1,3,3,1,2,0,1,0,2,1,5,1,2,0,0,1,0,1,0
E00045151,E01008888,337,3,5,3,3,4,7,8,4,1,4,2,6,2,3,2,2,7,4,5,8,3,3,5,5,8,9,2,6,3,2,4,6,3,8,7,5,4,4,6,5,5,9,4,6,7,0,5,4,7,5,6,6,6,4,5,3,2,4,3,3,6,3,1,2,1,2,5,3,3,2,3,1,1,3,4,0,5,3,2,0,3,2,0,0,1,3,0,0,1,0,2
E00045155,E01008888,367,4,4,3,7,10,2,12,3,6,3,4,7,4,4,5,0,6,4,4,2,6,5,7,9,3,7,5,3,4,2,6,7,0,9,7,3,11,3,3,3,3,3,6,6,10,6,4,3,6,5,2,3,7,6,10,7,5,6,7,5,3,1,3,6,5,4,0,3,1,4,2,1,3,1,4,1,1,4,1,1,1,0,2,3,1,0,0,1,2,1,0
E00045156,E01008888,290,5,4,6,3,4,4,6,2,2,0,5,2,5,4,2,5,8,6,6,1,6,5,4,3,3,4,4,2,1,2,9,3,1,2,1,11,3,2,5,4,2,4,5,5,4,2,5,1,2,8,4,6,3,4,0,3,7,5,3,2,2,2,2,3,3,5,3,3,4,0,4,2,2,3,3,2,2,1,1,1,1,1,0,2,1,1,3,2,0,0,1
E00045157,E01008888,357,5,5,6,2,6,4,8,6,9,6,6,2,3,5,4,5,6,4,2,3,6,2,3,2,2,4,7,4,4,5,4,5,4,4,5,3,6,3,4,1,5,4,5,8,7,7,5,9,5,5,7,7,4,3,7,4,6,4,5,0,6,6,7,3,2,5,5,2,2,1,3,2,5,4,2,1,1,3,0,2,1,3,1,1,1,0,2,0,0,2,2
E00045080,E01008889,412,6,3,7,7,7,6,6,4,5,2,7,10,4,8,8,7,4,5,4,5,3,6,6,5,6,0,2,5,6,8,1,8,4,8,5,8,4,5,5,9,6,9,5,7,6,6,2,11,7,5,3,7,4,5,3,8,2,3,5,4,7,0,5,4,3,2,6,1,6,4,1,3,4,6,3,4,1,2,4,2,1,1,2,1,2,5,1,1,1,0,2
E00045081,E01008889,272,0,1,2,2,0,2,2,2,2,1,3,3,3,3,2,1,5,5,9,4,4,4,3,5,5,3,5,1,5,4,4,0,3,2,2,5,3,2,2,1,7,5,2,0,4,1,6,6,4,2,2,4,3,3,3,3,1,2,3,0,4,6,2,3,2,2,3,0,2,2,4,3,4,3,2,2,0,3,6,4,0,3,5,3,6,5,2,4,1,1,9
E00045085,E01008889,307,5,3,6,2,1,1,2,5,5,3,0,3,5,5,4,3,3,1,3,1,4,2,1,4,4,7,4,7,11,7,8,1,11,12,7,3,3,3,9,6,6,5,10,6,3,5,6,4,2,1,0,6,7,1,1,2,3,1,2,4,1,4,3,1,6,5,4,4,3,4,1,2,3,3,1,1,2,0,0,1,1,2,2,1,2,0,0,0,0,0,0
E00045145,E01008889,460,6,10,10,11,9,8,8,6,13,6,6,5,3,10,9,3,3,5,1,4,2,8,10,7,8,13,5,8,9,6,11,8,13,12,19,9,11,5,4,7,2,7,6,11,7,3,7,4,5,7,5,6,4,4,7,1,2,4,3,2,3,2,3,2,4,2,5,1,0,2,2,3,5,0,2,3,0,1,1,0,0,0,2,1,3,1,1,0,1,0,2
E00045162,E01008889,362,4,5,5,3,9,10,5,8,9,10,6,5,8,6,7,1,6,2,1,0,2,6,3,8,5,5,5,6,6,5,8,8,10,8,7,7,6,6,5,6,2,3,5,3,3,5,5,6,3,8,2,5,6,2,2,2,6,3,6,8,3,4,1,3,1,2,1,4,6,1,3,0,4,1,2,1,0,2,1,0,1,0,0,0,0,1,1,0,1,0,1
E00045086,E01008890,422,3,3,4,7,3,6,10,4,5,7,4,7,5,3,7,4,9,9,2,7,7,7,9,6,5,12,6,4,5,13,6,5,5,5,11,8,4,6,3,5,6,5,7,2,9,8,5,9,6,3,3,6,9,9,6,7,5,6,2,10,4,2,2,2,2,3,5,3,5,4,2,2,1,2,3,2,2,0,3,0,2,0,1,1,0,1,0,1,0,1,2
E00045148,E01008890,336,6,6,3,5,2,3,6,4,5,2,7,4,7,3,4,1,1,3,3,4,6,1,11,6,1,10,2,11,4,5,6,10,3,9,10,9,13,6,4,5,1,2,3,7,6,2,6,4,4,2,1,4,3,8,5,2,6,5,4,5,2,2,2,3,2,3,0,4,2,3,1,5,1,2,5,0,2,1,0,0,0,0,1,1,0,1,0,0,0,1,1
E00045153,E01008890,407,6,8,10,9,8,3,9,11,8,6,5,7,6,9,8,4,10,2,8,2,4,8,4,8,2,6,7,10,10,5,10,7,9,4,6,5,2,5,5,11,6,3,3,6,3,2,3,4,5,2,6,3,7,4,4,5,5,3,3,4,2,5,3,3,3,5,0,3,4,0,3,1,2,2,2,4,1,3,0,4,2,0,1,2,2,1,0,0,0,0,1
E00045154,E01008890,315,8,4,5,4,4,6,6,6,3,5,5,4,5,4,7,5,8,5,4,4,2,4,3,8,2,7,2,5,4,3,9,13,5,5,7,5,4,6,7,3,3,5,5,4,2,4,5,7,3,3,7,4,0,4,3,3,0,2,4,4,2,4,3,4,1,7,3,1,3,1,2,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
E00045158,E01008890,393,8,7,3,5,10,8,14,6,5,6,4,6,4,7,2,2,4,3,6,2,5,4,4,2,6,7,4,3,5,7,9,5,13,8,5,11,12,5,4,7,1,6,7,7,6,4,4,6,4,4,5,6,4,6,7,6,3,3,7,2,5,0,2,4,2,4,1,1,0,2,2,2,3,5,0,0,1,2,1,0,1,1,2,2,1,1,2,1,0,1,8
E00045077,E01008891,375,2,3,5,1,3,4,4,2,8,5,5,7,8,8,6,8,3,5,6,6,6,6,8,4,5,6,5,9,1,7,3,5,6,5,1,1,6,5,4,2,7,5,9,1,5,6,7,10,4,5,5,11,6,9,6,12,7,3,5,4,3,7,4,8,7,2,3,2,4,1,2,0,0,1,0,0,0,1,0,1,0,1,2,1,0,0,1,2,0,0,1
E00045083,E01008891,344,4,11,9,4,8,5,2,4,2,5,1,4,2,3,4,3,2,5,4,7,5,5,0,4,6,17,3,7,8,9,3,6,9,6,3,2,5,3,1,3,1,1,0,6,3,6,4,5,5,3,2,3,6,7,3,3,2,11,4,5,1,3,4,3,1,3,5,3,2,4,3,4,4,3,3,4,6,1,2,1,0,0,1,0,1,4,2,1,0,0,1
E00045088,E01008891,317,3,4,6,3,7,3,2,3,4,5,3,5,3,4,2,4,5,4,3,1,6,9,3,2,6,1,9,3,4,9,2,2,1,1,0,1,1,3,3,8,3,5,0,1,4,7,5,6,7,8,6,5,8,5,5,6,3,4,7,1,3,0,2,4,2,5,6,9,2,5,1,3,4,4,2,0,1,3,0,4,6,0,1,2,0,2,0,0,0,0,2
E00045159,E01008891,312,8,6,4,2,9,3,3,2,12,0,2,3,2,3,1,3,0,4,4,1,3,3,2,9,6,3,7,5,4,4,3,2,7,5,5,4,2,3,3,5,7,5,1,4,8,5,3,3,2,5,6,8,4,6,5,1,6,5,4,4,2,3,3,1,0,4,1,2,9,4,3,4,3,0,2,5,3,3,0,0,0,0,1,1,1,0,0,2,4,0,2
E00045164,E01008891,255,6,5,5,4,2,5,3,5,0,0,0,1,1,1,0,1,1,0,3,2,4,0,4,4,2,2,5,8,3,7,3,0,1,4,4,1,2,2,2,5,2,2,2,2,1,3,2,2,1,1,3,3,5,7,3,7,2,4,4,3,8,2,2,3,1,2,1,4,4,1,4,4,4,1,0,2,1,6,1,2,3,4,1,6,0,3,6,2,3,1,6
E00045082,E01008892,497,14,5,12,8,10,7,7,6,5,9,7,7,8,4,6,5,4,11,6,11,8,10,12,9,11,8,13,6,12,10,9,13,10,10,7,5,6,8,6,4,15,6,8,4,8,8,5,6,7,1,6,1,6,6,5,2,4,5,6,3,2,2,3,1,4,0,0,0,2,1,3,3,3,2,2,4,2,2,2,0,3,4,2,1,0,1,3,0,0,1,3
E00045160,E01008892,414,7,14,6,5,4,8,9,11,9,7,9,6,5,7,5,9,7,2,11,3,6,7,9,6,4,6,5,5,8,4,7,10,5,3,6,4,5,5,3,8,9,7,6,7,4,6,6,6,2,7,5,4,6,4,5,3,6,4,1,7,0,5,2,3,1,5,5,1,1,2,3,1,2,4,2,2,0,0,0,1,0,1,2,0,1,1,2,0,0,0,2
E00045161,E01008892,292,2,5,4,6,4,3,9,4,6,5,4,4,2,6,9,4,3,3,7,5,2,5,3,3,6,2,5,5,7,5,2,6,5,6,7,3,3,3,1,3,3,3,1,4,3,5,2,5,3,5,4,3,5,2,2,4,4,1,8,2,1,6,1,3,0,6,2,3,5,0,0,3,2,1,4,1,3,1,1,0,0,0,1,0,1,0,0,0,0,0,1
E00045165,E01008892,319,9,8,8,4,7,5,5,8,8,14,1,5,1,4,2,4,7,3,5,8,6,5,3,6,5,3,5,6,6,4,4,3,4,8,5,2,4,6,4,6,6,2,4,5,5,4,4,4,1,3,2,1,5,3,5,1,2,3,4,4,2,1,1,4,0,2,0,2,5,2,0,2,3,1,1,2,0,1,1,1,1,0,0,2,2,2,0,0,0,1,1
E00045078,E01008893,385,2,11,2,5,5,6,11,4,6,3,5,5,8,0,3,4,5,3,7,2,5,4,2,2,5,5,5,6,7,6,8,4,8,6,7,8,7,9,6,3,2,4,3,8,4,6,5,4,3,4,11,7,4,6,7,11,7,6,2,4,6,4,4,5,6,3,6,5,3,4,0,4,2,0,1,1,3,1,1,0,1,1,1,1,4,0,0,0,0,0,0
E00045084,E01008893,387,6,2,8,4,2,7,3,3,5,10,2,6,5,7,5,2,6,6,6,2,10,6,10,2,6,6,7,3,11,4,4,8,11,7,9,6,9,7,6,9,4,6,3,4,7,7,10,2,9,8,1,8,2,6,4,3,1,4,2,1,3,7,4,4,2,3,2,2,4,3,1,2,2,1,2,1,1,1,2,0,0,2,0,0,2,2,1,1,0,0,2
E00045087,E01008893,298,3,9,3,5,2,4,4,4,2,5,1,2,4,1,2,5,2,3,2,1,8,6,0,3,3,5,2,5,5,2,7,8,4,2,6,4,8,4,7,3,6,9,2,1,9,4,3,1,5,5,7,1,4,1,3,3,5,3,9,1,5,3,3,2,5,4,2,1,2,4,3,2,2,2,1,4,3,0,3,2,0,0,1,1,0,3,1,1,0,0,0
E00045092,E01008893,384,6,6,6,1,6,4,3,3,3,5,2,1,3,0,2,2,2,2,4,4,10,7,6,6,4,5,4,5,8,2,9,4,9,7,11,10,9,7,4,5,3,6,4,6,7,7,7,7,11,7,6,4,3,6,8,6,6,6,2,2,2,5,7,4,3,3,4,5,2,5,2,5,1,0,1,3,4,0,2,0,1,3,1,1,0,0,4,0,2,1,2
E00045163,E01008893,353,8,6,10,10,11,6,8,5,7,3,1,3,2,6,4,5,1,5,1,4,5,7,3,3,3,6,5,4,7,4,6,8,6,13,8,9,6,8,5,3,5,4,2,4,3,3,5,4,7,6,6,2,7,5,2,4,8,0,2,1,4,1,2,1,3,4,1,1,5,0,2,2,1,2,1,1,2,1,0,0,1,2,0,2,3,1,1,0,1,0,3
E00045079,E01008894,201,2,0,2,1,2,1,3,1,0,0,4,4,0,2,2,0,0,1,0,2,0,1,6,1,3,2,3,6,4,3,2,1,3,2,4,2,5,3,4,1,1,6,2,2,3,0,7,3,2,2,3,2,2,6,1,2,2,2,1,1,3,3,2,1,1,4,3,4,2,2,1,1,2,1,3,1,4,3,2,3,4,3,3,2,1,3,2,2,0,0,2
E00045090,E01008894,364,5,3,3,8,7,5,3,4,2,0,4,4,6,1,3,1,3,3,9,8,2,6,10,5,9,4,3,5,5,7,8,1,9,7,4,5,3,5,2,8,9,7,7,3,5,3,9,7,4,4,5,7,3,4,2,6,7,3,4,4,4,5,5,4,4,2,4,6,9,4,0,1,0,1,0,2,2,3,2,2,1,2,0,2,1,0,0,2,0,0,3
E00045091,E01008894,403,1,3,6,3,2,4,7,4,3,1,3,4,2,1,4,1,4,7,1,1,5,6,5,5,5,10,6,3,5,6,4,3,7,9,7,4,4,3,3,3,2,4,6,6,2,5,6,4,3,3,4,8,2,2,6,7,8,5,4,3,3,3,1,1,5,3,5,3,0,6,6,4,1,3,2,7,2,3,5,0,7,7,2,7,6,8,4,3,8,7,26
E00045093,E01008894,300,3,1,4,1,4,1,0,1,4,3,2,1,5,3,6,4,5,3,5,6,0,6,4,3,7,6,3,0,6,5,5,9,7,4,4,6,4,3,3,2,3,5,4,3,8,4,3,5,3,6,3,4,7,4,3,0,4,3,5,4,5,7,6,5,2,4,3,3,2,4,2,3,1,0,1,2,1,1,2,1,1,1,1,1,0,2,2,0,2,0,5
