OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00072613,E01014375,256,1,2,1,0,1,5,0,2,3,2,0,3,2,6,2,4,2,0,3,2,1,0,1,1,1,2,1,1,2,0,3,2,1,4,2,4,9,4,2,1,1,2,0,4,2,3,2,3,5,5,7,5,4,3,3,7,4,3,4,4,5,5,5,7,3,1,1,3,3,7,6,4,3,3,2,7,2,6,4,5,8,1,3,3,1,0,1,1,0,0,2
E00072598,E01014376,308,0,0,2,0,0,1,5,2,0,5,4,3,4,2,3,5,1,6,2,4,0,1,0,3,2,4,4,4,1,0,1,0,1,0,1,0,0,1,0,4,1,0,0,2,4,3,5,2,6,6,9,5,5,4,6,8,5,8,5,10,3,3,2,6,6,3,5,8,3,5,5,7,7,7,6,7,4,6,5,4,5,6,5,3,3,2,3,0,1,0,8
E00072603,E01014376,302,0,3,4,2,2,1,3,3,1,2,5,3,4,5,3,2,0,5,6,5,5,2,3,2,1,4,3,2,2,2,1,2,0,0,1,3,1,2,0,1,3,4,3,1,3,2,4,7,6,3,7,8,5,7,8,6,5,1,1,4,9,3,3,7,4,4,5,2,10,2,2,11,2,1,2,5,5,4,3,7,4,0,2,2,2,2,0,4,2,1,8
E00072604,E01014376,341,2,3,1,4,3,9,8,8,9,3,6,5,7,7,4,4,1,7,3,2,1,1,2,2,1,5,3,1,0,1,2,0,0,2,0,3,5,2,3,4,8,7,4,4,5,6,4,10,6,5,5,14,9,4,1,6,8,3,5,4,5,4,2,1,5,5,2,8,4,5,4,2,2,2,6,1,2,2,1,5,3,3,3,0,1,5,0,1,1,1,3
E00072605,E01014376,267,1,2,1,2,2,2,3,1,2,2,1,3,3,1,2,2,0,3,0,6,1,1,1,3,1,1,0,2,1,1,1,2,1,4,0,0,0,1,2,2,1,2,6,2,5,2,4,5,4,5,3,4,4,3,4,7,3,3,3,3,7,7,5,7,8,4,4,2,7,3,5,1,5,5,4,3,6,4,3,7,9,4,0,3,2,4,2,3,0,1,5
E00072606,E01014376,259,3,3,5,3,1,1,3,3,4,6,2,4,1,5,2,4,3,1,2,1,0,2,0,1,3,4,0,2,4,2,4,1,4,3,5,1,2,1,2,4,1,4,4,1,6,6,4,5,4,3,6,1,4,6,3,5,2,2,3,7,2,1,3,9,4,2,4,6,4,3,1,5,0,5,2,3,5,6,3,2,3,1,1,0,1,0,1,0,1,0,2
E00072588,E01014377,265,0,1,5,3,4,6,4,3,4,4,4,6,2,3,2,0,3,1,2,0,0,0,1,3,0,2,0,0,0,3,1,2,2,0,1,3,0,2,5,4,4,7,3,7,1,0,6,3,3,9,1,2,8,2,3,1,1,3,4,5,5,2,5,4,4,2,2,3,4,3,2,1,5,4,5,3,8,3,9,5,5,6,2,2,2,5,2,0,2,0,1
E00072589,E01014377,300,6,2,2,4,5,7,5,1,4,2,6,4,4,2,4,3,2,3,6,2,1,3,2,0,3,2,2,2,3,1,3,3,1,6,5,5,3,4,3,4,3,2,5,2,11,2,2,2,6,1,4,4,3,0,3,3,5,5,10,3,5,4,6,4,2,3,1,2,4,4,2,5,6,5,1,3,2,1,2,0,4,5,3,2,6,3,3,2,2,0,2
E00072590,E01014377,244,0,3,3,2,4,2,5,2,1,2,0,3,1,3,2,3,3,1,2,2,2,1,0,1,1,1,0,2,1,2,1,0,2,1,2,2,0,1,5,1,4,3,4,2,2,0,5,3,3,3,5,3,1,3,3,3,2,2,3,1,1,2,5,5,8,6,4,2,3,4,5,1,6,5,3,1,4,5,3,6,6,3,4,4,5,2,3,3,3,4,3
E00072591,E01014377,256,3,2,2,0,4,0,3,3,4,7,1,6,5,4,4,2,3,2,4,3,2,2,3,0,1,0,1,0,0,0,1,1,3,0,1,3,3,2,0,6,2,4,5,4,6,6,8,6,4,4,4,5,4,4,2,5,3,3,2,3,7,1,1,2,3,2,6,7,4,4,3,6,2,2,1,3,4,2,2,1,4,3,4,2,0,0,2,1,2,0,0
E00072592,E01014377,205,0,0,1,0,4,0,3,0,2,1,0,1,3,1,1,2,0,2,1,0,1,2,1,1,1,2,2,1,0,1,2,0,1,1,1,1,2,1,0,1,1,1,1,1,1,3,1,3,4,4,2,2,2,3,3,2,3,5,3,1,4,2,5,4,4,3,2,6,3,7,2,4,1,5,4,4,6,1,4,3,3,3,6,4,7,2,5,3,2,3,3
E00072611,E01014377,132,0,2,2,2,1,2,3,1,2,2,1,0,3,3,0,1,2,2,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,3,0,0,1,1,4,6,1,3,1,3,1,6,0,2,1,4,2,2,0,1,5,3,4,2,3,0,3,3,1,2,1,5,2,2,1,4,1,1,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3
E00072624,E01014379,326,5,3,4,8,5,3,0,1,0,0,4,2,4,3,5,5,6,6,3,3,3,0,2,2,2,2,4,2,2,1,3,2,1,2,4,6,2,5,2,1,3,2,1,4,6,8,5,2,9,6,6,8,7,6,4,6,4,3,2,5,3,3,3,4,5,10,7,2,7,5,6,7,6,6,3,3,2,5,2,1,4,0,0,1,2,0,3,2,4,0,5
E00072625,E01014379,353,0,2,3,5,12,4,7,6,9,6,5,8,3,5,3,6,5,5,4,8,6,4,3,5,1,2,1,3,5,3,3,6,4,5,2,0,3,5,4,3,3,5,3,5,8,6,3,4,8,5,7,7,5,2,3,7,5,7,4,6,6,2,4,3,3,2,2,4,5,4,2,4,3,5,2,6,1,2,0,1,0,2,1,2,1,1,0,0,3,2,3
E00072626,E01014379,141,0,1,1,0,0,0,2,1,1,0,0,2,0,0,3,2,3,6,4,4,0,0,2,2,2,3,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,2,2,2,4,2,3,0,0,2,3,5,4,2,2,4,3,1,4,2,1,1,2,1,4,2,5,2,3,1,1,1,3,0,2,1,2,1,1,1,0,1,0,2,2,1,2
E00072627,E01014379,246,1,0,3,4,5,2,5,8,3,4,3,3,2,3,2,2,2,6,3,1,0,2,1,2,2,2,2,2,1,2,0,1,3,2,3,3,3,3,8,2,2,1,3,6,5,1,3,6,3,4,1,4,3,3,6,5,1,4,6,2,4,7,7,2,3,1,3,4,3,3,0,5,5,4,3,1,3,2,2,0,0,0,3,1,0,2,0,1,1,0,1
E00072628,E01014379,272,4,2,2,1,2,3,2,0,1,2,6,1,1,3,4,8,3,6,9,3,1,2,0,1,1,0,0,1,3,0,0,2,0,0,0,4,2,2,3,1,2,2,3,7,5,3,4,5,5,5,6,7,10,1,6,6,2,3,5,2,1,2,4,0,5,7,3,5,7,2,3,1,7,3,3,4,4,8,6,4,3,0,3,3,2,2,0,1,2,1,1
E00072629,E01014379,304,2,3,1,2,0,5,4,7,4,4,3,4,3,4,4,6,4,5,4,4,1,1,2,2,3,3,4,0,1,1,1,2,0,0,1,2,5,1,0,3,2,2,5,3,6,3,7,7,5,10,3,2,5,9,7,6,10,13,3,4,3,5,5,5,2,2,4,5,3,8,4,7,0,3,3,1,3,2,4,4,3,1,1,1,0,1,0,1,0,2,3
E00072630,E01014379,1188,2,2,1,4,2,0,3,1,4,0,2,1,1,2,1,2,0,0,80,434,218,117,74,33,22,16,9,10,5,3,1,1,1,6,2,5,3,5,3,4,2,5,3,2,2,3,2,3,1,4,3,6,5,2,2,5,3,4,2,2,3,3,2,1,5,2,4,2,1,0,1,1,2,1,1,0,2,0,1,0,0,2,1,0,0,0,2,3,3,3,1
E00072631,E01014379,236,2,0,0,0,3,1,3,3,3,4,2,7,4,4,4,1,0,2,1,3,0,2,1,4,4,1,2,0,0,0,0,0,0,2,2,2,2,0,4,2,2,5,2,4,6,7,3,1,3,5,3,2,2,2,2,3,3,2,4,7,7,5,4,3,1,3,4,4,0,9,8,6,5,5,3,4,2,2,1,2,5,0,0,0,2,3,1,0,1,0,3
E00072632,E01014380,249,0,1,0,2,3,3,3,1,3,5,4,2,3,1,1,5,0,3,2,4,1,2,0,1,0,2,0,1,0,0,0,1,4,2,1,1,1,2,2,2,1,2,1,1,6,1,2,2,1,2,0,3,3,0,1,2,5,8,6,2,3,0,7,6,3,6,4,8,3,7,6,7,5,1,9,8,3,3,3,7,5,3,6,2,4,1,2,0,1,4,4
E00072633,E01014380,313,1,4,4,6,4,8,7,5,3,7,8,4,6,2,1,5,3,5,4,4,5,4,4,2,1,1,2,0,2,0,4,2,5,0,4,3,6,4,4,6,7,4,4,5,5,7,5,3,1,5,2,5,1,1,6,1,1,6,7,5,1,0,1,4,2,3,5,2,4,8,3,4,3,6,1,1,3,0,0,2,2,4,3,0,5,0,2,4,4,0,5
E00072640,E01014380,316,0,0,2,1,3,3,2,3,2,3,2,2,1,5,5,3,7,7,4,3,2,0,1,0,1,1,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,3,0,4,5,1,2,3,5,4,1,2,3,2,7,5,5,5,5,3,5,7,6,9,1,5,9,3,4,6,8,6,7,5,5,5,7,4,5,7,2,3,6,2,5,8,5,3,29
E00170254,E01014380,3433,0,0,0,1,1,2,1,1,0,3,3,2,2,2,4,3,3,5,340,1660,662,299,160,57,40,16,8,7,3,3,2,3,2,4,3,1,1,1,1,1,1,1,1,3,4,4,5,1,3,3,3,5,3,3,4,1,2,3,3,6,6,0,2,5,2,7,4,4,3,2,0,1,2,1,3,1,2,0,4,2,2,1,2,3,0,4,1,1,2,0,0
E00170257,E01014380,117,0,0,0,0,0,2,0,1,0,1,2,6,3,3,2,5,0,1,2,2,0,2,4,1,2,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,2,6,0,2,2,6,3,2,3,2,3,4,5,2,2,1,1,3,3,2,1,2,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,2,1,0,0,0,0,0,1
E00072634,E01014381,277,3,1,1,2,1,3,2,2,0,1,2,3,3,3,4,5,2,6,1,2,7,1,1,2,2,4,3,4,1,2,4,0,1,1,3,2,1,2,0,0,1,1,4,1,4,4,1,2,3,2,5,7,2,3,3,8,3,4,4,5,7,4,5,8,3,4,1,1,3,4,4,11,4,6,5,2,4,5,2,3,2,2,5,0,5,0,6,3,3,3,7
E00072635,E01014381,265,2,2,4,1,0,1,5,2,2,5,6,3,3,3,4,2,5,7,6,7,2,2,5,3,2,2,1,2,3,0,4,2,1,1,0,0,1,1,1,2,3,2,3,3,1,5,4,6,3,6,7,4,4,2,4,6,5,2,0,6,2,2,3,7,4,5,3,4,3,2,4,5,1,5,2,4,2,1,0,3,2,0,0,1,1,2,4,3,1,1,7
E00072636,E01014381,460,2,2,3,3,2,0,2,2,1,3,3,2,4,3,1,2,2,1,2,1,0,3,25,64,66,27,12,9,6,5,6,4,2,7,8,4,3,4,5,2,4,2,7,1,2,1,4,4,4,2,4,2,5,4,2,5,2,3,4,4,4,5,2,2,3,0,4,3,2,2,1,5,5,3,6,3,8,4,3,1,3,2,4,1,2,3,2,4,3,1,0
